1.000	22.505	4.892	1.957	0.000	1.957	23.483	7.828	5.871	4.892	29.354	4.892	2.935	3.914	6.849	0.978	0.000	0.000	1.957	14.677	6.849	0.000	7.828	5.871	0.000	1.957	12.720	1.957	1.957	34.247	0.978	10.763	5.871	4.892	1.957	0.000	3.914	7.828	0.000	50.881	4.892	0.978	2.935	3.914	1.957	3.914	1.957	0.978	2.935	4.892	6.849	18.591	85.127	11.742	0.978	2.935	0.000	7.828	41.096	0.000	1.957	0.978	0.978	0.978	0.000	11.742	3.914	6.849	3.914	4.892	0.000
2.000	25.313	1.830	0.305	4.575	26.532	3.660	2.440	16.468	2.440	17.078	5.794	2.135	9.149	1.525	2.440	0.000	0.915	1.220	3.355	4.575	2.745	4.880	11.589	4.270	5.489	5.185	25.618	0.610	11.894	18.603	4.880	2.745	2.745	1.220	1.525	3.050	13.114	0.000	45.441	9.149	1.525	1.830	11.284	3.050	0.305	0.610	2.745	0.915	2.745	2.440	19.518	91.491	1.525	0.610	3.355	0.000	3.355	40.561	0.000	0.000	5.185	2.135	1.220	1.220	10.369	0.610	3.965	5.489	8.234	0.000
2.000	27.719	1.808	2.410	0.904	5.423	28.322	2.712	5.725	8.738	15.366	4.519	6.026	11.148	2.712	0.904	0.000	0.603	0.904	6.327	6.327	1.808	3.616	6.327	2.109	5.423	14.763	1.808	1.808	18.680	2.109	17.174	2.712	3.013	1.205	0.000	5.122	9.641	0.603	56.644	4.519	3.917	0.603	5.122	0.904	0.904	3.013	2.109	3.013	3.616	3.314	16.873	81.049	7.532	0.603	0.904	0.000	7.231	34.950	0.000	1.205	3.616	3.013	0.301	0.603	7.834	4.218	3.616	6.629	4.519	0.000
2.000	17.879	2.774	0.925	3.699	22.503	2.158	5.240	11.714	3.391	22.195	2.466	2.774	10.481	4.316	0.617	0.308	0.000	0.925	4.932	4.316	0.617	4.624	4.007	0.000	4.007	5.857	31.751	0.925	23.736	23.736	7.707	8.015	1.541	4.624	0.000	2.466	9.864	0.308	40.691	6.473	3.083	1.850	8.323	0.000	1.850	1.541	3.699	0.617	1.850	1.850	18.496	96.794	0.925	0.925	2.158	0.308	6.782	47.781	0.308	0.308	0.617	0.308	4.316	2.158	6.165	0.617	3.083	7.090	2.158	0.000
2.000	28.475	3.947	1.128	4.793	16.916	3.383	4.511	7.612	4.229	27.911	0.846	2.819	13.814	1.410	0.564	0.000	0.846	1.973	7.048	3.665	0.000	0.564	2.819	0.000	0.846	5.639	24.810	0.282	14.660	15.788	1.692	5.075	5.075	0.846	0.000	1.973	10.149	0.282	62.870	3.947	2.819	1.692	10.149	0.282	0.282	1.973	1.692	1.692	1.973	4.229	12.687	91.909	3.665	0.000	1.410	0.282	5.357	40.316	0.000	0.000	1.692	2.537	0.846	1.692	7.330	0.282	4.229	2.255	6.202	0.000
2.000	13.944	4.290	0.358	3.218	40.400	0.715	5.720	5.005	2.860	12.871	2.145	7.508	7.151	2.503	0.000	0.358	0.715	1.788	5.720	5.363	0.358	5.363	5.363	5.005	6.793	3.933	9.653	1.788	7.508	8.581	1.073	2.145	1.073	2.503	0.715	5.363	5.720	3.218	58.992	11.441	3.933	2.860	6.078	7.151	0.358	3.218	1.073	0.358	1.430	0.715	12.156	72.220	13.586	1.073	1.430	0.000	3.575	33.607	0.358	0.000	2.860	0.000	0.358	1.073	6.435	2.860	9.296	7.508	5.005	3.218
2.000	17.579	2.322	3.648	0.995	3.980	32.836	0.663	4.312	10.945	17.910	6.633	2.322	18.242	0.995	1.658	0.000	1.658	2.653	7.629	4.975	5.638	3.317	8.624	0.000	0.995	11.609	1.327	2.653	22.554	2.322	9.619	2.322	1.327	1.327	0.000	2.985	6.302	0.663	56.716	4.312	2.985	1.658	3.317	0.332	1.990	3.980	4.312	2.322	4.312	1.658	20.896	96.517	11.609	1.327	1.327	0.000	5.970	39.469	3.980	0.000	0.000	6.302	1.658	0.995	10.282	2.985	2.322	4.975	1.990	0.000
2.000	18.807	2.149	6.985	0.537	6.448	27.405	0.537	3.224	9.672	16.658	6.448	3.761	15.046	2.149	0.000	0.000	0.000	1.612	8.598	6.448	5.373	3.224	5.373	0.000	1.612	12.896	4.836	1.075	24.718	1.612	15.583	3.224	4.299	0.537	0.000	3.224	6.985	0.000	52.660	8.598	4.299	0.537	5.911	1.612	1.612	3.224	2.687	3.761	0.000	2.149	14.508	89.199	7.523	0.000	1.075	0.000	7.523	28.479	0.537	0.000	2.687	2.149	1.075	0.000	15.046	2.687	5.911	4.299	1.612	0.000
1.000	25.487	2.249	4.873	0.750	7.121	26.987	4.498	4.873	7.496	12.369	6.372	2.624	4.123	3.748	0.375	0.000	0.000	3.373	4.123	3.373	0.750	5.622	8.621	0.000	2.624	14.993	2.249	1.499	27.361	0.750	14.243	5.247	1.874	5.622	2.624	5.247	7.496	1.124	62.594	6.372	2.999	0.375	4.498	1.874	1.124	1.499	1.874	0.750	1.874	1.874	12.744	89.955	2.624	0.750	3.748	0.000	4.873	42.354	0.375	4.498	0.000	0.750	1.124	0.375	15.367	3.748	5.997	2.999	2.249	1.499
1.000	14.607	3.043	2.435	0.000	4.869	27.998	1.826	4.260	9.130	10.956	10.347	3.043	8.521	1.826	0.000	0.000	2.435	6.695	0.000	3.043	1.826	7.304	12.781	0.000	3.043	12.173	1.826	2.435	21.911	0.609	10.956	1.826	1.826	1.826	0.000	1.826	7.912	0.609	65.733	1.826	1.826	3.043	3.043	0.609	4.260	0.609	4.260	0.609	1.217	3.043	9.738	110.164	3.043	0.609	1.826	0.000	7.304	50.517	0.609	3.652	0.609	0.000	0.000	0.000	15.825	3.652	1.826	7.304	3.043	0.000
1.000	21.871	6.049	3.257	0.465	5.119	28.851	3.257	6.980	8.841	18.148	3.723	3.723	6.980	0.931	0.000	0.000	0.931	1.861	3.723	8.841	1.396	6.049	6.049	0.465	0.931	12.099	3.723	2.792	25.128	3.257	10.237	1.396	2.327	7.445	0.000	0.931	2.792	0.465	64.681	5.584	2.327	0.000	3.257	2.327	0.465	1.861	2.792	0.931	1.396	1.861	12.564	81.433	6.515	0.000	4.188	0.931	7.911	37.227	0.000	3.257	0.000	0.000	0.931	0.000	10.703	0.465	5.119	8.376	10.237	0.000
2.000	13.571	3.877	1.163	2.714	27.142	3.490	3.102	9.694	5.816	9.694	3.490	3.877	12.796	0.388	0.775	0.775	1.163	0.000	3.877	4.653	3.102	0.775	3.102	11.245	0.388	2.714	34.509	2.714	7.367	10.469	1.939	2.326	1.551	0.000	0.000	3.102	8.530	1.939	64.754	12.796	1.551	2.326	6.592	1.163	0.775	1.939	1.551	0.775	1.163	2.326	15.122	88.019	3.877	1.939	0.388	0.000	6.979	31.020	0.388	0.000	8.530	3.490	1.551	0.000	8.530	0.775	0.000	8.918	4.265	0.000
2.000	14.745	7.373	0.000	8.043	31.501	0.000	8.043	7.373	4.021	18.767	1.340	2.681	12.735	2.011	0.000	0.000	0.000	10.054	3.351	7.373	1.340	2.681	1.340	0.000	0.000	1.340	24.799	1.340	12.064	11.394	4.692	6.702	3.351	2.011	0.000	3.351	4.692	1.340	61.662	5.362	3.351	1.340	5.362	0.670	2.011	2.681	2.681	2.011	0.670	4.021	11.394	89.812	7.373	0.670	3.351	0.670	5.362	38.204	0.670	0.000	2.011	4.021	0.670	0.000	7.373	6.032	6.032	7.373	0.000	0.000
1.000	26.948	5.879	1.960	5.879	0.000	25.478	0.980	3.430	7.839	20.088	1.960	2.450	8.329	0.980	0.000	0.000	2.940	1.470	6.859	6.859	3.920	2.450	3.430	0.000	17.148	10.779	3.430	2.450	17.148	0.000	11.759	4.410	4.900	3.430	0.000	2.940	6.369	0.000	57.815	2.940	1.960	0.490	7.839	0.000	0.490	0.000	0.490	1.470	3.430	3.430	9.309	86.232	5.879	0.490	4.410	0.490	4.900	48.016	0.490	2.450	1.960	1.960	2.450	4.410	9.799	1.960	3.920	4.900	12.249	0.000
2.000	17.924	2.029	0.000	4.396	18.262	2.367	1.015	12.175	6.425	18.600	7.102	5.411	5.749	0.000	1.691	0.000	0.338	2.705	8.793	3.382	3.720	8.116	4.735	0.000	2.367	5.411	23.334	1.353	7.440	14.204	10.822	2.029	2.705	2.705	0.000	4.058	7.440	1.015	59.858	11.160	5.411	0.676	7.778	4.396	1.015	0.676	3.044	0.676	2.367	4.058	18.600	80.487	7.440	0.676	0.676	0.676	5.073	39.905	0.000	0.000	2.029	4.396	1.353	2.029	6.087	1.353	5.073	6.764	10.484	0.000
2.000	17.209	3.256	2.791	0.465	4.186	27.907	1.395	3.256	11.163	20.930	4.186	1.860	8.372	4.186	0.000	0.000	0.930	0.465	9.302	5.116	1.395	3.721	7.907	1.395	0.000	14.419	3.721	2.791	18.605	0.930	11.628	7.442	3.721	0.930	0.930	4.651	6.047	0.930	56.744	7.907	1.860	1.860	5.116	5.581	0.000	0.930	2.791	3.256	0.930	2.326	15.349	93.023	8.837	0.000	0.000	0.000	6.047	33.023	0.000	0.000	1.395	1.395	0.930	0.000	18.605	0.465	12.093	3.256	2.326	2.326
2.000	22.706	3.784	1.419	8.988	25.544	2.838	7.569	13.245	2.838	26.017	1.419	2.365	6.149	2.365	0.000	0.473	0.946	3.311	4.730	4.730	0.946	5.203	1.419	0.000	2.838	4.257	23.179	2.838	19.868	17.502	4.730	5.203	1.419	1.892	0.000	0.946	7.569	0.000	61.022	3.784	2.365	0.473	7.569	0.000	0.946	2.365	4.730	0.946	3.311	2.365	22.706	97.919	1.419	0.473	3.311	0.473	7.096	44.939	0.473	0.946	0.946	0.473	0.000	0.946	13.718	1.419	2.365	5.676	6.149	0.000
2.000	16.984	3.221	0.878	4.685	18.448	3.807	4.392	13.470	7.321	10.542	3.221	3.221	7.321	0.000	1.757	1.171	0.878	1.757	6.735	4.392	1.464	2.635	5.564	1.171	6.149	2.635	22.548	1.171	10.835	16.105	4.685	4.392	2.928	0.293	3.807	3.221	11.127	0.586	56.515	7.906	3.514	2.050	4.100	0.293	0.293	1.171	2.343	0.586	4.100	2.050	16.984	71.449	4.685	1.464	1.464	2.050	6.149	48.609	0.293	0.293	3.807	0.586	1.464	1.464	12.592	2.343	1.171	12.299	3.221	0.000
